author,text,likes,published_at
@gabrielsousa4627,"Caraca kkkkkkkkk, o Stolen est em outro nvel man,  difcil at de acompanhar ",0,2025-04-25T08:28:32Z
@ultrasonicpunch,"como sempre carregada. Vi uma play dela, foi carregada. E o Stolen carregou outra vez",0,2025-04-24T01:12:11Z
@davidsanty96,No sei,0,2025-04-22T17:36:47Z
@felipemotta6940,QUE PARTIDAAAAAA,1,2025-04-17T16:35:53Z
@LeonardoSilva-m1g,O cara t jogando warzone com o Keanu Reeves Matrix ,0,2025-04-17T15:36:23Z
@RingsOfDarkSouls,Gg,0,2025-04-17T13:05:05Z
@lucorp,Faz mais lives cantando mano! Canta muito hahahahha,1,2025-04-16T14:37:42Z
@Allan-m4e,"Tira um dia da semana pra jogar com squad, eu sei que vc respeita seu chat mas tem que ter squad tabem ",1,2025-04-16T14:28:24Z
@dvpm16,Indo!,0,2025-04-16T13:23:22Z
@carloszanella7175,Mais algum est tendo problema em ficar caindo em servidor gringo?,1,2025-04-16T10:33:05Z
@nivelcascagrossa9747,Que isso joga muito.,3,2025-04-16T01:20:02Z
@Lucas_Hara,faz mais lives com eles monxstro!!!,9,2025-04-15T22:27:20Z
